codigo:idioma
ar:árabe
ar-AE:árabe
ar-BH:árabe
ar-DZ:árabe
ar-EG:árabe
ar-IQ:árabe
ar-JO:árabe
ar-KW:árabe
ar-LB:árabe
ar-LY:árabe
ar-MA:árabe
ar-OM:árabe
ar-QA:árabe
ar-SA:árabe
ar-SD:árabe
ar-SY:árabe
ar-TN:árabe
ar-YE:árabe
be:bielorruso
be-BY:bielorruso
bg:búlgaro
bg-BG:búlgaro
ca:catalán
ca-ES:catalán
cs:checo
cs-CZ:checo
da:danés
da-DK:danés
de:alemán
de-AT:alemán
de-CH:alemán
de-DE:alemán
de-LU:alemán
el:griego
el-CY:griego
el-GR:griego
en:inglés
en-AU:inglés
en-CA:inglés
en-GB:inglés
en-IE:inglés
en-IN:inglés
en-MT:inglés
en-NZ:inglés
en-PH:inglés
en-SG:inglés
en-US:inglés
en-ZA:inglés
es:español
es-AR:español
es-BO:español
es-CL:español
es-CO:español
es-CR:español
es-DO:español
es-EC:español
es-ES:español
es-GT:español
es-HN:español
es-MX:español
es-NI:español
es-PA:español
es-PE:español
es-PR:español
es-PY:español
es-SV:español
es-US:español
es-UY:español
es-VE:español
et:estonio
et-EE:estonio
fi:finés
fi-FI:finés
fr:francés
fr-BE:francés
fr-CA:francés
fr-CH:francés
fr-FR:francés
fr-LU:francés
ga:irlandés
ga-IE:irlandés
hi-IN:hindú
hr:croata
hr-HR:croata
hu:húngaro
hu-HU:húngaro
in:indonesio
in-ID:indonesio
is:islandés
is-IS:islandés
it:italiano
it-CH:italiano
it-IT:italiano
iw:hebreo
iw-IL:hebreo
ja:japonés
ja-JP:japonés
ja-JP-JP:japonés
ko:coreano
ko-KR:coreano
lt:lituano
lt-LT:lituano
lv:letón
lv-LV:letón
mk:macedonio
mk-MK:macedonio
ms:malayo
ms-MY:malayo
mt:maltés
mt-MT:maltés
nl:neerlandés
nl-BE:neerlandés
nl-NL:neerlandés
no:noruego
no-NO:noruego
no-NO-NY:noruego
pl:polaco
pl-PL:polaco
pt:portugués
pt-BR:portugués
pt-PT:portugués
ro:rumano
ro-RO:rumano
ru:ruso
ru-RU:ruso
sk:eslovaco
sk-SK:eslovaco
sl:eslovenio
sl-SI:eslovenio
sq:albanés
sq-AL:albanés
sr:serbio
sr-BA:serbio
sr-CS:serbio
sr-ME:serbio
sr-RS:serbio
sv:sueco
sv-SE:sueco
th:tailandés
th-TH:tailandés
th-TH_TH:tailandés
tr:turco
tr-TR:turco
uk:ucranio
uk-UA:ucranio
vi:vietnamita
vi-VN:vietnamita
zh:chino
zh-CN:chino
zh-HK:chino
zh-SG:chino
zh-TW:chino
